"High_Consumer_Employee","Total_Employees","Payment_Date","Departament_id"
"1","2","20140927",1
"0","1","20150314",1
"0","3","20150718",1
"0","1","20151024",1
"0","1","20160521",1
"0","1","20170617",1
"3","8","20151107",2
"1","6","20171216",2
"1","5","20180728",2
"1","4","20190615",2
"5","25","20130831",3
"5","23","20140301",3
"8","22","20170506",3
"6","22","20170701",3
"10","21","20180505",3
"8","21","20180602",3
"9","19","20190504",3
"1","9","20170506",5
"1","9","20170701",5
"1","9","20180505",5
"1","9","20180602",5
"2","8","20190504",5
"0","6","20131012",6
"0","5","20141206",6
"0","4","20151107",6
"0","4","20161203",6
"0","6","20180630",6
"0","6","20180728",6
"0","7","20190209",6
"0","7","20190615",6
"0","1","20150214",7
"0","1","20160910",7
"0","1","20170422",7
"1","2","20180825",7
"0","7","20140816",8
"0","5","20150620",8
"0","4","20160130",8
"0","3","20161022",8
"0","4","20180922",8
"0","4","20190223",8
"3","16","20131109",9
"5","16","20140215",9
"5","14","20141025",9
"2","12","20150131",9
"4","12","20150523",9
"3","11","20160116",9
"3","11","20160227",9
"1","7","20170729",9
"1","6","20171007",9
"0","2","20151010",10
"0","2","20160213",10
"0","2","20160618",10
"0","2","20171230",10
"0","1","20180113",10
"0","1","20190112",10
"0","1","20190309",10
"3","22","20141220",11
"1","16","20171202",11
"2","12","20181229",11
"2","12","20190323",11
"21","90","20170311",12
"9","30","20140329",13
"8","29","20141220",13
"12","29","20161231",13
"1","4","20160102",14
"0","3","20180630",14
"0","5","20150214",15
"1","3","20160910",15
"1","3","20161119",15
"0","4","20170422",15
"0","4","20170826",15
"1","3","20180421",15
"2","5","20181103",15
"0","1","20180113",17
"0","2","20190601",17
"12","71","20140719",18
"11","61","20150926",18
"12","50","20180616",18
"2","13","20141206",19
"3","14","20160702",19
"1","11","20171104",19
"1","8","20180811",19
"1","9","20181215",19
"1","7","20190406",19
"0","8","20130831",20
"1","4","20170701",20
"0","4","20180505",20
"0","4","20180602",20
"0","4","20190504",20
"1","5","20131026",21
"0","6","20160312",21
"0","5","20171021",21
"1","5","20190420",21
"0","1","20140802",22
"0","1","20140830",22
"0","1","20150228",22
"0","1","20150606",22
"0","1","20150815",22
"0","1","20161008",22
"0","1","20171118",22
"0","1","20180324",22
"0","1","20180519",22
"0","1","20180908",22
"18","78","20140719",24
"18","66","20150926",24
"10","44","20180616",24
"21","248","20131012",25
"15","212","20141206",25
"25","185","20151107",25
"21","156","20160702",25
"22","109","20180728",25
"12","97","20190615",25
"6","27","20140412",27
"5","23","20160326",27
"6","18","20170408",27
"6","16","20180421",27
"1","9","20140104",29
"1","9","20140621",29
"1","9","20140705",29
"1","9","20141122",29
"0","9","20150425",29
"0","2","20141108",30
"0","4","20161008",30
"0","4","20170211",30
"1","4","20170506",30
"1","4","20180407",30
"1","2","20131123",1
"0","1","20140301",1
"0","1","20170506",1
"4","8","20160716",2
"2","6","20161105",2
"1","6","20171104",2
"1","4","20190406",2
"3","25","20131012",3
"5","20","20150411",3
"5","22","20160102",3
"5","23","20171118",3
"4","18","20131012",5
"1","11","20150411",5
"1","9","20160102",5
"1","10","20171118",5
"0","5","20140607",6
"0","5","20141108",6
"0","2","20160716",6
"0","3","20161105",6
"0","4","20170506",6
"0","6","20171104",6
"0","6","20180811",6
"0","7","20190406",6
"0","1","20131221",7
"0","1","20150103",7
"0","1","20161231",7
"0","1","20180127",7
"0","1","20180310",7
"0","7","20131109",8
"0","4","20160227",8
"0","3","20170325",8
"0","3","20170729",8
"0","3","20170909",8
"0","3","20190713",8
"4","12","20150620",9
"3","12","20150912",9
"4","6","20190126",9
"0","6","20130914",10
"0","2","20170603",10
"0","2","20170617",10
"0","2","20171021",10
"0","1","20180714",10
"0","1","20190601",10
"3","22","20150214",11
"3","22","20150328",11
"3","17","20161119",11
"4","17","20170325",11
"4","17","20170422",11
"2","16","20170826",11
"23","142","20150228",12
"16","96","20161119",12
"17","88","20170715",12
"15","80","20170826",12
"11","69","20180224",12
"10","70","20180519",12
"8","29","20150214",13
"8","29","20150328",13
"11","29","20161119",13
"11","27","20170422",13
"4","21","20180825",13
"1","5","20141011",14
"0","3","20170506",14
"0","3","20180505",14
"0","3","20180519",14
"0","3","20180602",14
"0","6","20131221",15
"0","6","20140118",15
"0","4","20141220",15
"0","4","20151205",15
"1","3","20160326",15
"0","3","20170311",15
"1","4","20171202",15
"2","3","20181229",15
"1","4","20190323",15
"0","2","20150131",17
"0","2","20150704",17
"0","1","20151010",17
"0","1","20160423",17
"11","59","20151219",18
"10","59","20160716",18
"11","59","20160730",18
"12","49","20180825",18
"10","48","20181020",18
"7","46","20190406",18
"3","14","20140607",19
"2","14","20161203",19
"3","14","20161231",19
"1","10","20171216",19
"1","9","20180616",19
"1","8","20180728",19
"0","5","20150228",20
"0","5","20150411",20
"0","5","20160102",20
"0","3","20171118",20
"1","6","20151010",21
"1","5","20180630",21
"0","1","20140104",22
"0","1","20170408",22
"0","1","20170701",22
"0","1","20190504",22
"0","1","20190713",22
"15","71","20141011",24
"16","62","20160507",24
"13","57","20161105",24
"7","49","20171104",24
"9","44","20180811",24
"6","39","20181215",24
"17","250","20130831",25
"14","238","20140301",25
"17","146","20170520",25
"13","97","20190629",25
"12","96","20190810",25
"6","25","20140524",27
"7","19","20161119",27
"6","19","20170225",27
"1","9","20150815",29
"1","8","20151121",29
"1","7","20161008",29
"1","5","20170211",29
"2","5","20170909",29
"0","2","20130831",30
"0","2","20131123",30
"0","2","20140301",30
"0","2","20140607",30
"0","2","20150425",30
"0","2","20140830",1
"0","3","20150815",1
"0","1","20160604",1
"0","1","20161008",1
"4","9","20140816",2
"4","9","20141108",2
"3","8","20160730",2
